search_id;type of propery;Postcode;Link;Available as of;Available date;Neighbourhood or locality;Construction year;Floor;Number of floors;Building condition;Number of frontages;Surroundings type;Living area;Living room surface;Kitchen type;Kitchen surface;Bedrooms;Bedroom 1 surface;Bathrooms;Toilets;Furnished;Terrace surface;Elevator;Accessible for disabled people;Visio phone;Swimming pool;Primary energy consumption;Energy class;;Reference number of the EPC report;CO₂ emission;Yearly theoretical total energy consumption;As built plan;Heating type;Thermic solar panels;Double glazing;Planning permission obtained;Subdivision permit;Possible priority purchase right;Flood zone type;Latest land use designation;Price;Cadastral income;Tenement building;Address;Website;External reference;Covered parking spaces;Outdoor parking spaces;Bedroom 2 surface;Bedroom 3 surface;Office surface;Office;Dining room;Basement;Armored door;Caretaker;Monthly charges;Street frontage width;Shower rooms;Intercom;Total ground floor buildable;Extra information;Agent's name;Living room;Dressing room;Laundry room;Professional space;Surface of the plot;Gas, water & electricity;Terrace;Secure access / alarm;Photovoltaic solar panels;Property name;Terrace orientation;Air conditioning;Common water heater;TV cable;Connection to sewer network;Jacuzzi;Sauna;E-level (overall energy performance);Heat pump;Proceedings for breach of planning regulations;Garden;Garden orientation;Width of the lot on the street;Virtual visit;Bedroom 4 surface;Attic;Garden surface;How many fireplaces?;Professional space surface;Basement surface;Attic surface;Obligation to build;Bedroom 5 surface;Land is facing street;Wooded land;Plot at rear;Flat land;Internet;Conformity certification for fuel tanks;Type of building;Lump sum;Monthly annuity;Indexed annuity;Reversionary annuity;Bare ownership sale;Number of annuitants;Age of annuitant;Maximum duration of annuity
9937664;Apartment;9890;https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/9937664?searchId=6298cd702c3cf;At delivery;November 1 2023 - 12:00 AM;Gent en omstreken;2021;2;2;As new;4;Urban;78;15;Hyper equipped;7;1;18;1;1;No;10;Yes;Yes;Yes;No;1;A;Not specified;Not specified;Not specified;No;Gas;Yes;Yes;Yes;No;No;Non flood zone;Living area (residential, urban or rural);;;No;;Sint-Denijslaan 1;;4783826;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9937657;Apartment;9890;https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/9937657?searchId=6298cd702c3cf;At delivery;November 1 2023 - 12:00 AM;Gent en omstreken;2021;1;3;As new;4;Urban;76;19;Hyper equipped;7;1;14;1;1;No;11;Yes;Yes;Yes;No;1;A;Not specified;Not specified;Not specified;No;Gas;Yes;Yes;Yes;No;No;Non flood zone;Living area (residential, urban or rural);;;No;;Sint-Denijslaan 1;;4783816;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9937662;Apartment;9890;https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/9937662?searchId=6298cd702c3cf;At delivery;November 1 2023 - 12:00 AM;Gent en omstreken;2021;2;3;As new;4;Urban;76;19;Hyper equipped;7;1;14;1;1;No;11;Yes;Yes;Yes;No;1;A;Not specified;Not specified;Not specified;No;Gas;Yes;Yes;Yes;No;No;Non flood zone;Living area (residential, urban or rural);;;No;;Sint-Denijslaan 1;;4783824;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9937672;Apartment;9890;https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/9937672?searchId=6298cd702c3cf;At delivery;November 1 2023 - 12:00 AM;Gent en omstreken;2021;1;2;As new;4;Urban;95;29;Hyper equipped;7;2;12;1;1;No;12;Yes;Yes;Yes;No;1;A;Not specified;Not specified;Not specified;No;Gas;Yes;Yes;Yes;No;No;Non flood zone;Living area (residential, urban or rural);;;No;;Sint-Denijslaan 1;;4783835;1;1;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9937668;Apartment;9890;https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/9937668?searchId=6298cd702c3cf;At delivery;November 1 2023 - 12:00 AM;Gent en omstreken;2021;1;2;As new;4;Urban;95;29;Hyper equipped;8;2;12;1;1;No;11;Yes;Yes;Yes;No;1;A;Not specified;Not specified;Not specified;No;Gas;Yes;Yes;Yes;No;No;Non flood zone;Living area (residential, urban or rural);;;No;;Sint-Denijslaan 1;;4783830;1;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9937666;Apartment;9890;https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/9937666?searchId=6298cd702c3cf;At delivery;November 1 2023 - 12:00 AM;Gent en omstreken;2021;1;2;As new;4;Urban;95;29;Hyper equipped;7;2;13;1;1;No;11;Yes;Yes;Yes;No;1;A;Not specified;Not specified;Not specified;No;Gas;Yes;Yes;Yes;No;No;Non flood zone;Living area (residential, urban or rural);;;No;;Sint-Denijslaan 1;;4783828;1;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9937660;Apartment;9890;https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/9937660?searchId=6298cd702c3cf;At delivery;November 1 2023 - 12:00 AM;Gent en omstreken;2021;1;2;As new;4;Urban;97;29;Hyper equipped;7;2;13;1;1;No;11;Yes;Yes;Yes;No;1;A;Not specified;Not specified;Not specified;No;Gas;Yes;Yes;Yes;No;No;Non flood zone;Living area (residential, urban or rural);;;No;;Sint-Denijslaan 1;;4783821;1;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9937680;Apartment;9890;https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/9937680?searchId=6298cd702c3cf;At delivery;November 1 2023 - 12:00 AM;Gent en omstreken;2021;2;3;As new;4;Urban;97;31;Hyper equipped;5;2;14;1;1;No;10;Yes;Yes;Yes;No;1;A;Not specified;Not specified;Not specified;No;Gas;Yes;Yes;Yes;No;No;Non flood zone;Living area (residential, urban or rural);;;No;;Sint-Denijslaan 1;;4783846;1;1;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9937676;Apartment;9890;https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/9937676?searchId=6298cd702c3cf;At delivery;November 1 2023 - 12:00 AM;Gent en omstreken;2021;2;3;As new;4;Urban;97;29;Hyper equipped;5;2;14;1;1;No;10;Yes;Yes;Yes;No;1;A;Not specified;Not specified;Not specified;No;Gas;Yes;Yes;Yes;No;No;Non flood zone;Living area (residential, urban or rural);;;No;;Sint-Denijslaan 1;;4783841;1;1;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9937678;Apartment;9890;https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/9937678?searchId=6298cd702c3cf;At delivery;November 1 2023 - 12:00 AM;Gent en omstreken;2021;1;3;As new;4;Urban;112;29;Hyper equipped;8;3;12;1;1;No;10;Yes;Yes;Yes;No;1;A;Not specified;Not specified;Not specified;No;Gas;Yes;Yes;Yes;No;No;Non flood zone;Living area (residential, urban or rural);;;No;;Sint-Denijslaan 1;;4783844;1;1;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
